symbol,date,transition,prior_regime,new_regime
ACMR,2024-10-04,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ACN,2025-04-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ACON,2025-10-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ACRV,2025-03-26,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ACSI,2024-12-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ACT,2024-10-29,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ACTG,2024-03-15,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ACTU,2025-12-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADAG,2024-08-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADBE,2025-04-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADBE,2025-06-16,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ADCT,2024-03-13,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ADCT,2024-05-21,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADCT,2024-11-07,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ADEA,2025-11-03,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ADGM,2024-12-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADI,2024-11-25,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ADIL,2025-05-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADIV,2024-10-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADMA,2024-10-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADNT,2024-08-02,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADPV,2024-06-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADSE,2025-06-03,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ADSE,2025-10-31,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ADSK,2024-04-02,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADT,2025-02-25,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ADUR,2025-10-21,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ADUS,2024-06-10,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AEE,2024-09-25,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AEG,2025-07-07,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
AEHL,2024-07-10,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
AEHL,2025-01-07,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
AEHL,2025-11-24,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AEI,2024-05-28,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AEIS,2025-02-14,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AEMD,2024-05-13,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AENT,2025-12-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AEON,2024-05-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AEP,2025-12-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AER,2024-08-05,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AER,2025-11-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AERT,2024-09-10,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AES,2025-10-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AEYE,2025-07-25,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AFIF,2024-10-17,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AFL,2024-05-02,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AFMC,2024-12-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AFRI,2025-12-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AFRM,2024-11-08,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AFSM,2024-12-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AFYA,2025-05-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AGAE,2025-11-10,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
AGEN,2024-11-12,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
AGEN,2025-01-21,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AGG,2024-11-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AGL,2024-10-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AGM,2025-02-21,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AGMH,2025-02-27,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AGNCL,2024-05-24,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AGNCL,2024-10-17,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
AGNCL,2025-03-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AGO,2024-05-08,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
AGO,2025-03-03,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AGOX,2024-08-27,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AGX,2025-06-20,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AGX,2025-11-12,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
AGYS,2024-05-14,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AHCO,2025-02-25,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AHG,2024-11-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AHH,2025-11-25,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AHLT,2024-07-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AHT,2025-10-29,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AIBD,2025-04-03,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AIFD,2025-03-04,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AIHS,2025-10-21,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AIM,2025-06-17,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
AIM,2025-07-29,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AIMD,2024-07-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AIN,2025-04-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AIOT,2025-01-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AIP,2024-11-05,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AIRE,2024-04-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AIRI,2025-12-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AIRJ,2024-08-20,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AIRR,2025-11-13,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AIV,2024-04-08,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AIZ,2025-08-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AJAN,2025-07-18,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
AJG,2025-10-31,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AKA,2024-05-01,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
AKA,2024-05-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AKAM,2024-05-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AKAM,2025-04-08,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
AKAM,2025-08-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AKAN,2024-07-26,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AKBA,2025-03-13,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AKTX,2024-04-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AKTX,2025-12-02,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
AL,2025-05-05,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ALAR,2025-06-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALB,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALBT,2025-11-20,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALC,2025-04-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALCO,2025-01-06,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ALCO,2025-04-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALDX,2024-09-04,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ALDX,2024-09-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALDX,2025-06-11,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ALEC,2024-12-02,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALG,2024-05-28,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALGM,2024-08-08,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ALGN,2025-11-21,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ALGS,2024-09-18,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALHC,2024-10-30,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ALK,2025-03-11,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALLO,2025-01-31,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALLR,2024-05-02,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALLY,2024-09-10,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ALLY,2025-09-25,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ALNT,2025-10-23,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ALRM,2024-09-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALT,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALTG,2024-05-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ALVO,2025-11-03,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ALZN,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AM,2024-08-15,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AMAX,2024-08-05,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
AMC,2024-04-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMCX,2025-04-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMDL,2024-07-31,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMG,2025-03-11,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AMH,2024-10-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMID,2025-04-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMIX,2024-05-23,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMIX,2024-07-03,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
AMIX,2024-07-15,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AMP,2024-10-24,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AMPG,2025-01-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMPH,2025-02-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMPL,2025-02-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMPX,2024-09-23,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AMPY,2025-07-22,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AMR,2025-01-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMRX,2024-08-08,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AMSC,2025-10-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMST,2025-12-19,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMT,2024-04-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMT,2024-04-30,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
AMTD,2024-08-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMTD,2024-08-26,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AMTM,2025-06-03,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AMTX,2024-04-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AMTX,2025-03-13,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
AN,2025-07-02,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
AN,2025-07-15,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ANET,2024-03-18,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ANGI,2025-03-24,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ANGL,2024-05-01,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ANGO,2024-10-22,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ANGO,2025-01-08,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ANIX,2024-07-15,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ANL,2024-06-05,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ANL,2025-09-30,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ANTX,2025-05-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ANY,2024-08-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AOK,2025-03-19,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AOR,2024-08-05,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AOSL,2025-08-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AOTG,2025-02-28,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AP,2024-11-27,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AP,2025-12-19,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
APD,2024-07-02,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
APD,2024-10-29,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APG,2024-04-18,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APGE,2024-04-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APLE,2025-04-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APLS,2024-09-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APLT,2024-12-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APO,2025-03-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APP,2025-08-07,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APPF,2024-10-15,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
APPF,2025-04-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
APPF,2025-07-31,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
APPF,2025-10-31,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APPX,2025-10-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APRE,2025-05-15,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
APRH,2025-09-12,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
APRZ,2024-11-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
APT,2025-08-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APTV,2025-10-21,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
APVO,2024-09-16,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
APYX,2024-11-27,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
APYX,2025-12-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AQB,2024-07-02,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AQMS,2025-10-24,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AQST,2024-03-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AR,2025-02-26,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARAY,2024-04-30,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARBK,2024-07-15,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ARCB,2024-04-26,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARCC,2025-03-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARCM,2025-10-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ARCO,2025-03-14,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ARCT,2024-07-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARDX,2024-06-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARDX,2025-05-16,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AREB,2025-01-28,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARES,2024-05-21,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ARGT,2025-04-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARGX,2025-06-30,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ARI,2024-04-29,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARKB,2025-06-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARKB,2025-11-04,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ARKF,2025-11-11,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARKQ,2025-06-23,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ARKR,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARKW,2024-11-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ARKW,2025-11-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARKX,2025-11-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARLP,2025-01-22,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARMG,2025-06-27,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ARMG,2025-10-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AROC,2024-05-20,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AROW,2025-11-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARQT,2025-02-12,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ARR,2024-04-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARRY,2024-06-28,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARTL,2025-04-08,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ARTNA,2024-04-12,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARTV,2025-01-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARTW,2024-12-27,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ARTY,2025-07-01,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ARVN,2025-03-10,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ARVR,2025-10-08,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
AS,2025-02-25,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
AS,2025-07-14,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
AS,2025-08-18,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASAN,2024-04-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASC,2024-05-08,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ASGN,2024-11-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASH,2025-01-31,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASIA,2025-10-09,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASMB,2025-08-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ASMG,2025-04-07,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ASMG,2025-09-15,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ASML,2024-08-01,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASND,2025-08-05,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ASNS,2024-04-11,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASO,2024-04-17,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASO,2024-12-02,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ASPI,2025-02-26,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ASPN,2025-02-14,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASRT,2024-03-27,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASRV,2024-04-17,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ASTC,2024-03-07,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ASTC,2024-03-15,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ASTC,2024-03-28,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ASTH,2024-12-27,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASTL,2025-04-03,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASTL,2025-10-15,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ASTS,2025-12-04,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ASUR,2025-03-07,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ATCH,2025-09-15,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ATEN,2024-05-30,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ATFV,2025-02-25,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ATFV,2025-08-12,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP
ATFV,2025-08-20,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ATGE,2024-11-06,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ATGE,2025-10-29,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ATHM,2024-05-02,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ATI,2024-06-14,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ATKR,2024-08-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ATKR,2025-08-04,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ATLC,2025-03-06,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ATLCZ,2025-12-10,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ATLN,2025-08-15,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ATLO,2025-10-20,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ATLX,2024-09-18,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ATMU,2024-08-02,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
ATNM,2024-12-06,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN
ATNM,2025-10-13,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION
ATOM,2024-04-25,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION
