date,symbol,transition,prior_regime,new_regime,event,detector,fwd_5,fwd_10,fwd_20,fwd_40
2024-07-09,ABCB,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.15863966974641253,0.2001179477098487,0.10025555337133873,0.19520345979948894
2024-11-06,ABCB,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,-0.016305875737981368,-0.04259207197076187,-0.03190891200449808,-0.12440258644925506
2025-01-13,ABCS,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.04465249260697113,0.04378354893414249,0.02499264200922191,-0.04609606032150926
2025-11-07,ABL,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.015503875968992276,-0.0992248062015505,0.145736434108527,
2024-05-30,ABLV,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,DISTRIBUTION->MARKDOWN,transition,0.16363636363636358,-0.036363636363636376,-0.045454545454545525,0.06372727272727263
2025-03-07,ABLV,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.4137931034482758,-0.3840229885057471,-0.49390804597701143,-0.24425287356321845
2025-03-10,ABM,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.0694634146341464,-0.07258536585365849,-0.14770731707317075,-0.028487804878048806
2025-02-14,ABNB,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.10283731879568825,-0.1266261925411969,-0.2136042621732127,-0.29859992565976945
2024-06-17,ABOS,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.1439999999999999,-0.09199999999999997,0.22799999999999998,0.006000000000000005
2025-07-22,ABR,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.0033840947546531774,-0.002538071065989911,-0.027918781725888353,-0.0033840947546531774
2024-09-10,ABSI,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.07629427792915533,0.07901907356948223,0.07356948228882842,0.10354223433242504
2025-10-01,ABT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.00599385629729543,-0.030119127893908804,-0.06773057615943656,-0.03693713943208221
2025-10-08,ABTS,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.3076923076923077,-0.3036,-0.35128205128205126,-0.35435897435897434
2024-09-04,ACB,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.01058201058201047,0.03174603174603163,-0.05291005291005291,0.0017636684303350414
2024-10-21,ACDC,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.017211703958692093,0.07401032702237531,0.17555938037865748,0.2908777969018934
2025-08-22,ACES,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.0016937669376694275,-0.012025745257452591,0.08686991869918703,0.2130758807588078
2024-11-13,ACET,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.15166666666666662,-0.02631578947368407,-0.14526315789473676,-0.2024561403508771
2025-04-21,ACGLN,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.02021403091557672,0.006539833531510109,0.014268727705112783,-0.015457788347205792
2024-03-20,ACHC,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.01595123849046831,-0.02710413694721825,-0.08857476332511993,-0.13590973933341988
2024-11-08,ACHV,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.0820734341252699,-0.07343412526997839,-0.015118790496760348,-0.23974082073434122
2024-06-18,ACI,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.014550928248871053,-0.0025087807325639977,-0.005017561465127995,0.02709483191169082
2024-06-24,ACIU,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.04096385542168679,-0.15903614457831328,-0.110843373493976,-0.18554216867469886
2024-10-04,ACMR,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.03266787658802173,-0.1284029038112522,-0.15834845735027214,-0.2894736842105263
2025-04-16,ACN,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.021630907306128266,0.053603982611134304,0.1331159725143738,0.09279904641705228
2025-10-10,ACON,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.06481179919043434,-0.12180709998604211,-0.15902852091378594,-0.3160563904527056
2025-03-26,ACRV,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.33333333333333326,-0.3831417624521072,-0.23754789272030652,-0.5593869731800767
2024-12-16,ACSI,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.01676134027465892,-0.03850727763826256,-0.03418845319349473,0.008137924054476331
2024-10-29,ACT,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.048752176436448025,0.004643064422518828,0.022925130586186837,-0.04497968659315166
2024-03-15,ACTG,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,0.12043010752688166,0.14193548387096766,0.06451612903225801,0.10860215053763445
2025-12-10,ACTU,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.09736842105263155,-0.13684210526315788,,
2024-08-23,ADAG,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.05084745762711873,-0.016949152542372947,-0.23728813559322037,-0.0847457627118644
2025-04-03,ADBE,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.046834581347855675,-0.05023825731790332,0.037086453369639116,0.09843430905377804
2025-06-16,ADBE,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.04826624847534422,-0.023971324023597917,-0.09946979314464943,-0.12610459761531378
2024-03-13,ADCT,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,0.21282051282051295,0.0769230769230771,0.19999999999999996,0.17179487179487185
2024-05-21,ADCT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.10723860589812328,-0.05093833780160861,-0.2788203753351206,-0.07774798927613946
2024-11-07,ADCT,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,DISTRIBUTION->MARKDOWN,transition,-0.0955631399317407,-0.33788395904436863,0.06825938566552892,-0.31740614334470996
2025-11-03,ADEA,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.007692307692307776,-0.13216783216783223,-0.12727272727272732,
2024-12-23,ADGM,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.03669724770642202,-0.07798165137614699,-0.07339449541284415,0.4036697247706422
2024-11-25,ADI,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.009124250827444391,-0.03564719563467211,-0.024554969138563365,-0.03649700330977734
2025-05-01,ADIL,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.20512820512820518,-0.15384615384615385,-0.1217948717948718,-0.6125641025641025
2024-10-14,ADIV,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.015246554364471643,-0.018652373660030697,-0.03614088820826955,-0.03226339969372127
2024-10-17,ADMA,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.00992555831265507,0.011786600496277666,0.25310173697270466,0.15322580645161277
2024-08-02,ADNT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.10908319185059423,-0.056451612903225756,-0.03989813242784368,-0.04202037351443122
2024-06-03,ADPV,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.017282520105659116,-0.023354314574598023,-0.006392568516354724,0.01929554091342034
2025-06-03,ADSE,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,DISTRIBUTION->MARKDOWN,transition,0.17666666666666675,0.3811111111111112,0.3866666666666667,0.4277777777777778
2025-10-31,ADSE,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.10245183887915932,-0.10683012259194402,0.0753064798598948,
2024-04-02,ADSK,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.003136182702746182,-0.08230469221181291,-0.1441839893852278,-0.16163403160307188
2025-02-25,ADT,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.0013192612137202797,-0.0013192612137202797,0.08311345646438006,0.04353562005277056
2025-10-21,ADUR,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.01532033426183843,-0.029944289693593307,-0.27924791086350975,-0.11629526462395545
2024-06-10,ADUS,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.0077054794520547976,0.03082191780821919,0.016952054794520555,0.046404109589041065
2024-09-25,AEE,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.012277044243687696,0.00046328468844092363,0.03312485522353481,0.06833449154505433
2025-07-07,AEG,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,0.0,0.0028169014084507005,-0.008450704225352101,0.08028169014084519
2024-07-10,AEHL,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,-0.33333333333333326,-0.26923076923076916,-0.5311355311355311,-0.6611721611721612
2025-01-07,AEHL,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,DISTRIBUTION->MARKDOWN,transition,-0.2828498293515358,-0.32039249146757676,-0.4500853242320819,-0.4901877133105802
2025-11-24,AEHL,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.2332015810276682,0.22924901185770752,-0.4347826086956521,
2024-05-28,AEI,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.43386897404202696,0.3102595797280594,0.7676143386897403,0.3349814585908528
2025-02-14,AEIS,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.01215096161583662,-0.13551138649714323,-0.13583326627504622,-0.2849440733885893
2024-05-13,AEMD,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.5655498541100714,-0.5730958848978771,-0.4462219539189053,-0.5629338967702988
2025-12-09,AENT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.08582089552238803,-0.023631840796019876,,
2024-05-23,AEON,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.06508875739644959,-0.00591715976331364,-0.4023668639053254,0.5029585798816569
2025-12-08,AEP,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.0003456320746564323,-0.009591290071718661,,
2024-08-05,AER,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.06980519480519498,0.10099721706864573,0.07177643784786647,0.08569109461966606
2025-11-17,AER,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.014890576821839474,0.020455741896668433,0.06572911182973606,
2024-09-10,AERT,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.021739130434782483,-0.09999999999999998,-0.08695652173913038,-0.30434782608695643
2025-10-01,AES,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.041639557579700615,-0.040338321405335,-0.06506180871828238,-0.09499024072869222
2025-07-25,AEYE,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.18125430737422465,-0.3039283252929015,-0.13163335630599593,-0.024121295658166786
2024-10-17,AFIF,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.0021810250817884125,-0.0027262813522356266,-0.0021810250817884125,-0.0027262813522356266
2024-05-02,AFL,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.015944788196097015,0.03688719657306039,0.06937172774869116,0.05973346025702031
2024-12-16,AFMC,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.043577871316897054,-0.050360793746241694,-0.012327119663259056,-0.016837041491280624
2025-12-04,AFRI,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.01510859301227574,0.06515580736543902,,
2024-11-08,AFRM,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.20804647160068845,0.43179862306368344,0.48063683304647165,0.2622633390705682
2024-12-16,AFSM,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.052418444165621025,-0.05646173149309919,-0.03953575909661233,-0.03764115432873272
2025-05-12,AFYA,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.031909418425115854,-0.05506948018528046,-0.08594956253216668,-0.17550180133813686
2025-11-10,AGAE,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,DISTRIBUTION->MARKDOWN,transition,-0.20318725099601598,-0.22443559096945553,-0.2993739328400683,
2024-11-12,AGEN,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,DISTRIBUTION->MARKDOWN,transition,-0.17230273752012892,0.08856682769726243,0.0531400966183575,0.0161030595813203
2025-01-21,AGEN,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.07049608355091386,-0.08616187989556134,-0.09138381201044388,-0.5483028720626633
2024-11-07,AGG,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.006915488660632518,-0.0060002033967253565,0.010169836265636167,-0.01993287908064678
2024-10-16,AGL,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.17484662576687116,-0.24539877300613488,-0.4233128834355828,-0.3190184049079754
2025-02-21,AGM,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.004709500696813862,-0.03517708683742604,-0.07967706280936138,-0.17343457157960496
2025-02-27,AGMH,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.5520833333333333,-0.7642708333333333,-0.8070833333333334,-0.89875
2024-05-24,AGNCL,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.008746355685131046,0.0004164931278634043,0.00916284881299445,-0.010412328196584775
2024-10-17,AGNCL,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,-0.010200078462141993,-0.0035307963907414974,-0.013338564142801101,-0.014123185562965879
2025-03-17,AGNCL,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.006716712761754229,0.030817858553931377,-0.04583168708020546,-0.0003951007506913795
2024-05-08,AGO,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,DISTRIBUTION->MARKDOWN,transition,-0.056652046783625676,-0.07480506822612087,-0.0550682261208576,-0.06554580896686157
2025-03-03,AGO,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.0768374164810689,-0.02873051224944323,-0.018930957683741645,-0.01135857461024492
2024-08-27,AGOX,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.04018011776931074,-0.02736404572220308,0.004101143055074363,-0.006927606511950124
2025-06-20,AGX,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.08054681353265147,0.030192761605035257,0.018243509047993545,0.10798583792289529
2025-11-12,AGX,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,-0.016612752892154026,0.0434234333022645,-0.09370031251713351,
2024-05-14,AGYS,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.12087673611111116,0.04893663194444442,-0.003472222222222099,0.15928819444444442
2025-02-25,AHCO,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.02819548872180455,-0.048872180451127956,-0.03289473684210542,-0.2734962406015038
2024-11-14,AHG,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.26008403361344534,-0.3445378151260504,-0.18907563025210083,0.2016806722689075
2025-11-25,AHH,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.020280811232449292,0.07644305772230897,0.026521060842433775,
2024-07-24,AHLT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.0016673614005837667,-0.07875364735306367,-0.04196748645268855,-0.034531054606085854
2025-10-29,AHT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.05590062111801253,-0.12422360248447195,-0.2525879917184265,
2025-04-03,AIBD,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.07820954254795864,-0.04426463354648302,-0.2831824889326118,-0.3942351205115592
2025-03-04,AIFD,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.05190311418685123,-0.03759323337178011,-0.06612841214917353,-0.05382545174932729
2025-10-21,AIHS,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.043010752688172116,-0.16666666666666674,-0.4408602150537635,-0.37623655913978504
2025-06-17,AIM,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,-0.11330049261083752,-0.09671921182266008,-0.1472906403940888,-0.7467980295566503
2025-07-29,AIM,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.07301587301587298,-0.16507936507936505,-0.18095238095238086,-0.12698412698412698
2024-07-12,AIMD,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.06296851574212892,-0.15390554722638683,-0.3488255872063968,-0.33645677161419285
2025-04-08,AIN,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.08920502092050198,0.05305439330543926,0.07414225941422603,0.11330543933054393
2025-01-10,AIOT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.06525573192239853,0.10229276895943573,0.3756613756613756,0.03174603174603163
2024-11-05,AIP,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.16201117318435765,0.12988826815642462,0.287709497206704,0.7108938547486032
2024-04-12,AIRE,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.3411214953271029,0.01869158878504673,0.05607476635513997,-0.03738317757009346
2025-12-23,AIRI,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,,,,
2024-08-20,AIRJ,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.24151967435549526,-0.15603799185888745,-0.19402985074626866,-0.2103120759837177
2025-11-13,AIRR,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.029320823115470684,0.05459004158225822,0.07250239897643662,
2024-04-08,AIV,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.03743961352656999,-0.022946859903381633,0.0,-0.03743961352656999
2025-08-06,AIZ,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.016901542563321437,0.025518948771662497,0.03080365644639116,0.03961150257093893
2025-07-18,AJAN,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,0.0022373426119774997,0.0008145843776721229,0.00715802199746407,0.011017161560463506
2025-10-31,AJG,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.0020842518738224403,0.03615375365746121,-0.013587718946651228,
2024-05-01,AKA,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,0.09424083769633484,0.544502617801047,-0.1952879581151834,-0.20157068062827233
2024-05-23,AKA,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.04629629629629628,0.04938271604938271,-0.18827160493827155,-0.1006172839506172
2024-05-10,AKAM,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.04408378111635036,0.03235003838140149,-0.00932119749972582,0.028402237087399973
2025-04-08,AKAM,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,DISTRIBUTION->MARKDOWN,transition,0.09236182377950475,0.11230024923031823,0.21477789180472073,0.11625861310658281
2025-08-07,AKAM,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,-0.0065543071161049404,0.020866773675762174,0.05082932049224187,0.03745318352059912
2024-07-26,AKAN,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.018404907975460016,-0.19631901840490784,-0.17177914110429437,-0.31288343558282194
2025-03-13,AKBA,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.2071005917159765,0.1420118343195267,-0.08284023668639051,0.5088757396449703
2024-04-09,AKTX,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.1212927756653992,-0.07984790874524716,0.102661596958175,0.612699619771863
2025-12-02,AKTX,DISTRIBUTION->MARKDOWN,DISTRIBUTION,MARKDOWN,DISTRIBUTION->MARKDOWN,transition,0.01621308627678042,-0.26577880718008107,,
2025-05-05,AL,MARKDOWN->ACCUMULATION,MARKDOWN,ACCUMULATION,MARKDOWN->ACCUMULATION,transition,0.1376127973748975,0.17186218211648896,0.17739950779327307,0.20857260049220683
2025-06-09,ALAR,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.01853486319505726,0.1588702559576347,0.21624007060900263,0.2797881729920564
2024-08-01,ALB,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.1217129977460556,-0.15058495223784485,-0.016314264248148524,0.030911237522807777
2025-11-20,ALBT,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.04516129032258065,-0.058064516129032295,-0.2129032258064516,
2025-04-09,ALC,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,0.02289143238137581,0.052116901877986566,0.06545171685742868,-0.024447160795643796
2025-01-06,ALCO,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,-0.05543166613571204,-0.013698630136986245,-0.028671551449506283,-0.10672188595093979
2025-04-04,ALCO,MARKUP->DISTRIBUTION,MARKUP,DISTRIBUTION,MARKUP->DISTRIBUTION,transition,-0.01973460360666901,-0.0190541000340253,-0.003402517863218879,0.10173528411024169
2024-09-04,ALDX,ACCUMULATION->MARKUP,ACCUMULATION,MARKUP,ACCUMULATION->MARKUP,transition,-0.020569620253164556,-0.07120253164556967,-0.16139240506329122,-0.15506329113924056
